age,hours_work,social_media_use,rent,friends_count,highest_speed,dates,standard_drinks,countries,semesters,commute,data_interest,mark_goal,hours_studying,financial_pressure,work_study_ratio,social_engagement,gender,relationship_status,drug_use_ans,student_type,mainstream_advanced,lecture_mode,study_type,learner_style,stress_category
19.0,29.3,6.0,0.0,15.0,140.0,2.0,5.0,8.0,2.0,75.0,7.0,80.0,2.0,0.0,14.65,2.5,Female,Single,Prefer not to say,Domestic,DATA1001,Recording,It changes depending on the subject,Style 3,Average
17.0,16.0,4.0,0.0,2.0,110.0,0.0,0.0,5.0,0.0,90.0,7.0,85.0,9.0,0.0,1.7777777777777777,0.5,Female,Single,No,Domestic,DATA1001,Live in the Lecture Theatre,It changes depending on the subject,Style 1,High
18.0,0.0,2.0,452.0,60.0,210.0,4.0,0.0,6.0,1.0,15.0,3.0,10.0,1.0,452.0,0.0,30.0,Female,Single,No,International,DATA1001,Lecture Slides,I work steadily all semester,Style 3,Average
18.0,9.0,2.75,0.0,9.0,110.0,0.0,0.0,8.0,0.0,90.0,2.0,50.0,2.0,0.0,4.5,3.272727272727273,Female,Single,No,Domestic,DATA1001,Recording,It changes depending on the subject,Style 2,Average
19.0,0.0,5.0,634.0,6.0,55.0,30.0,8.0,12.0,2.0,20.0,0.0,80.0,2.0,634.0,0.0,1.2,Female,In a relationship,No,International,DATA1001,Live in the Lecture Theatre,I work steadily all semester,Style 2,Low
20.0,20.0,17.0,660.0,10.0,120.0,5.0,3.0,4.0,0.0,40.0,6.0,75.0,3.0,33.0,6.666666666666667,0.5882352941176471,Female,Single,No,International,DATA1001,Live in the Lecture Theatre,It changes depending on the subject,Style 3,High
18.0,1.0,6.0,0.0,5.0,120.0,0.0,1.0,5.0,0.0,120.0,7.0,100.0,15.0,0.0,0.06666666666666667,0.8333333333333334,Male,Single,No,Domestic,DATA1001,Live Stream from Lecture Theatre,I work steadily all semester,Style 1,Low
19.0,12.0,2.0,0.0,41.0,241.0,21.0,24.0,24.0,10.0,44.0,7.0,100.0,12.0,0.0,1.0,20.5,Non-binary / third gender,Single,Yes,Domestic,DATA1001,Recording,I leave things to the last minute,Style 2,Average
19.0,9.5,3.0,0.0,1.0,120.0,1.0,48.590000000000146,5.0,1.0,60.0,1.0,65.0,3.0,0.0,3.1666666666666665,0.3333333333333333,Female,Single,Yes,Domestic,DATA1001,Lecture Slides,I leave things to the last minute,Style 3,High
19.0,0.0,10.0,610.0,5.0,220.0,0.0,5.0,2.0,0.0,35.0,5.0,50.0,5.0,610.0,0.0,0.5,Male,Single,No,International,DATA1001,Recording,It changes depending on the subject,Style 2,High
21.0,0.0,0.75,450.0,5.0,100.0,0.0,4.0,6.0,0.0,10.0,4.0,70.0,3.0,450.0,0.0,6.666666666666667,Male,Single,No,International,DATA1001,Live in the Lecture Theatre,It changes depending on the subject,Style 1,Low
18.0,0.0,5.5,350.0,5.0,140.0,0.0,15.0,4.0,0.0,40.0,0.0,85.0,3.0,350.0,0.0,0.9090909090909091,Male,Single,Yes,Domestic,DATA1001,Recording,It changes depending on the subject,Style 1,Low
19.0,0.0,6.0,480.0,5.0,0.0,0.0,5.0,2.0,0.0,30.0,4.0,70.0,3.0,480.0,0.0,0.8333333333333334,Male,Single,No,International,DATA1001,Live in the Lecture Theatre,It changes depending on the subject,Style 3,Average
19.0,0.0,1.5,469.0,20.0,140.0,1.0,3.0,8.0,1.0,10.0,3.0,80.0,15.0,469.0,0.0,13.333333333333334,Male,Single,No,International,DATA1001,Live in the Lecture Theatre,It changes depending on the subject,Style 1,Low
19.0,0.0,4.5,0.0,1.0,100.0,0.0,0.0,0.0,3.0,60.0,7.0,76.0,3.0,0.0,0.0,0.2222222222222222,Male,Single,Yes,Domestic,DATA1001,Lecture Slides,It changes depending on the subject,Style 2,Average
