cohort,consent,age,gender,country_of_birth,country_of_birth_5_TEXT,hours_work,social_media_use,rent,friends_count,stress,highest_speed,relationship_status,dates,standard_drinks,countries,drug_use_q,drug_use_ans,student_type,mainstream_advanced,semesters,commute,data_interest,mark_goal,hours_studying,lecture_mode,study_type,learner_style
2024S2,I consent to take part in the study,31,Male,Australia,,22.5,0.5,0,0,3,210,In a relationship,0,12,5,Have you ever gotten high off recreational drugs?,Yes,Domestic,DATA1001,4,60,1,85,4,Recording,I work steadily all semester,Style 3
2024S2,I consent to take part in the study,19,Male,China,,0,6,498,10,0,130,Single,0,0,4,Have you ever gotten high off recreational drugs?,No,International,DATA1001,1,30,7,80,3,Lecture Slides,I work steadily all semester,Style 2
2024S2,I consent to take part in the study,19,Female,Australia,,3,8.28,0,10,6,115,Single,0,3,8,Have you ever used recreational drugs?,No,Domestic,DATA1001,1,80,3,80,3,Recording,It changes depending on the subject,Style 2
2024S2,I consent to take part in the study,18,Female,Australia,,18,3,0,3,3,110,Single,0,1.2,5,Have you ever used recreational drugs?,No,International,DATA1001,1,110,2,85,1,Live in the Lecture Theatre,It changes depending on the subject,Style 3
2024S2,I consent to take part in the study,19,Male,China,,20,5.45,300,10,7,90,In a relationship,40,5,8,Have you ever gotten high off recreational drugs?,No,Domestic,DATA1001,0,30,8,70,14,Live in the Lecture Theatre,It changes depending on the subject,Style 1
2024S2,I consent to take part in the study,19,Female,Other Please Specify,Singapore,0,3.19,0,20,6,186,In a relationship,1,0,11,Have you ever used recreational drugs?,No,International,DATA1001,1,15,4,85,2,Recording,It changes depending on the subject,Style 2
2024S2,I consent to take part in the study,20,Male,China,,0,2.25,800,0,3,110,Single,0,3,8,Have you ever used recreational drugs?,No,International,DATA1001,0,15,7,60,1,Live in the Lecture Theatre,I leave things to the last minute,Style 2
2024S2,I consent to take part in the study,19,Male,Other Please Specify,Hong Kong,0,8,0,2,2,80,Single,0,0,7,Have you ever used recreational drugs?,No,Domestic,DATA1001,1,60,7,77,2,Recording,It changes depending on the subject,Style 2
2024S2,I consent to take part in the study,18,Female,Australia,,5,4.5,0,11,3,120,In a relationship,45,7,9,Have you ever gotten high off recreational drugs?,Yes,Domestic,DATA1001,1,20,5,85,4,Recording,I work steadily all semester,Style 3
2024S2,I consent to take part in the study,18,Male,Other Please Specify,Vietnam,0,5.5,400,30,3,150,Single,4,0,4,Have you ever gotten high off recreational drugs?,No,International,DATA1001,0.5,60,8,85,4,Live in the Lecture Theatre,I work steadily all semester,Style 1
2024S2,I consent to take part in the study,18,Male,Australia,,12.167,4.28,0,9,7,140,Single,50,0,14,Have you ever gotten high off recreational drugs?,Yes,Domestic,DATA1001,1,50,6,100,3,Recording,It changes depending on the subject,Style 2
2024S2,I consent to take part in the study,19,Female,India,,0,4,600,0,5,150,Single,0,0,4,Have you ever gotten high off recreational drugs?,No,Domestic,DATA1001,0,20,7,100,10,Live in the Lecture Theatre,It changes depending on the subject,Style 3
2024S2,I consent to take part in the study,18,Female,Other Please Specify,South Korea,7,5,459,10,9,100,Its complicated,3,5,12,Have you ever used recreational drugs?,Yes,International,DATA1001,0,20,9,100,4,Live Stream from Lecture Theatre,I work steadily all semester,Style 2
2024S2,I consent to take part in the study,19,Female,Other Please Specify,Mongolia ,0,7.28,459,0,6,150,Single,0,0,3,Have you ever gotten high off recreational drugs?,No,International,DATA1001,0,20,7,80,2,Live in the Lecture Theatre,I work steadily all semester,Style 2
2024S2,I consent to take part in the study,25,Female,Other Please Specify,Republic of Korea,0,6,700,12,7,100,Single,0,2,14,Have you ever gotten high off recreational drugs?,No,International,DATA1001,8,30,7,85,2,Live in the Lecture Theatre,It changes depending on the subject,Style 2
2024S2,I consent to take part in the study,19,Female,China,,28,7,0,2,2,120,Single,0,7,2,Have you ever used recreational drugs?,No,International,DATA1001,0,15,6,100,10,Live in the Lecture Theatre,I work steadily all semester,Style 1
